englishName,ERV-ARB,ERV-AWA,ERV-BEN,ERV-BUL,ERV-CMN,ERV-ENG,ERV-HIN,ERV-HRV,ERV-HUN,ERV-IND,ERV-KAN,ERV-MAR,ERV-NEP,ERV-ORI,ERV-PAN,ERV-POR,ERV-RUS,ERV-SPA,ERV-SRP,ERV-TAM,ERV-THA,ERV-UKR,ERV-URD,ERV-VIE
Bulgarian,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Croatian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
English,1,14,40,2,9,5,35,2,1,3,24,8,29,31,21,2,4,9,1,68,1,6,10,8
Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungarian,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesian,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portuguese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Russian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Spanish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Tamil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Thai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ukrainian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
